section,metric,value
all_trajectories,samples,6663.0
all_trajectories,linear_coef_0,0.03099254469453975
all_trajectories,linear_coef_vtrack,0.037011658824781614
all_trajectories,linear_coef_vdiff,0.15649957020180644
all_trajectories,linear_r2,0.39806575415070666
all_trajectories,quad_coef_0,0.007752498362417905
all_trajectories,quad_coef_vtrack,0.044600826143173566
all_trajectories,quad_coef_vdiff,0.3878997026925036
all_trajectories,quad_coef_vtrack2,0.00027499554921399383
all_trajectories,quad_coef_vdiff2,0.0018963591304196187
all_trajectories,quad_coef_cross,-0.06148152781285264
all_trajectories,quad_r2,0.43106062658268773
all_trajectories,mean_error,0.16633157602456944
all_trajectories,max_error,1.0499001122529956
all_trajectories_detailed,samples,6663.0
all_trajectories_detailed,r2_multi_linear,0.46987495789747635
all_trajectories_detailed,r2_multi_quadratic,0.5108094032411351
all_trajectories_detailed,r2_linear_v_track,0.3708769863638194
all_trajectories_detailed,r2_quadratic_v_track,0.37325132482052226
all_trajectories_detailed,r2_linear_v_plan,0.3970402243964769
all_trajectories_detailed,r2_quadratic_v_plan,0.3990693497070549
all_trajectories_detailed,r2_linear_v_diff,0.13427801078516244
all_trajectories_detailed,r2_quadratic_v_diff,0.15621111499840146
all_trajectories_detailed,r2_linear_acc,0.20215519466881104
all_trajectories_detailed,r2_quadratic_acc,0.28777321838701386
all_trajectories_detailed,r2_linear_jerk,0.11885114434922439
all_trajectories_detailed,r2_quadratic_jerk,0.13775565866220085
all_trajectories_detailed,r2_linear_snap,0.0578966781253365
all_trajectories_detailed,r2_quadratic_snap,0.10291894814207336
all_trajectories_detailed,sensitivity_v_track,2.348265691419704
all_trajectories_detailed,coef_multi_linear_v_track,-0.15865388417656257
all_trajectories_detailed,sensitivity_v_plan,2.974120767488863
all_trajectories_detailed,coef_multi_linear_v_plan,0.20485255583261047
all_trajectories_detailed,sensitivity_v_diff,0.16593248276516187
all_trajectories_detailed,coef_multi_linear_v_diff,0.14765291654883564
all_trajectories_detailed,sensitivity_acc,0.041389230869801674
all_trajectories_detailed,coef_multi_linear_acc,-0.0021370549162986717
all_trajectories_detailed,sensitivity_jerk,0.10469284018308872
all_trajectories_detailed,coef_multi_linear_jerk,-0.002361730202058543
all_trajectories_detailed,sensitivity_snap,0.08241999727376759
all_trajectories_detailed,coef_multi_linear_snap,0.00032858377335785727
